sku,product_name,your_price,myntra_search_name
"XM1000","Men's Flex Collective Lightweight Training Tee",999,"Ten x You Lightweight Buttery Feel Gym and Training T-shirt"
"XW5006","Women's Workout Shorts",1199,"Ten x You Women 365 Sportstyle Shorts"
"XW1000","Women's Flex Collective Lightweight Training Tee",999,"Ten x You Lightweight Buttery Feel Gym and Training T-shirt"
"XU002","Centurion Pro Batsman Shoe",8999,"Ten x You Men Centurion Pro Batsman Cricket Shoes?Co-Created by Sachin Tendulkar"
"XU003","Unisex Switch Fan Edit Multi-Sport Sneaker",3499,"Ten x You Unisex Switch Fan Edit Sports Shoes"
"XU003-2","Unisex Switch OG 1.0 Multi-Sport Sneaker",3499,"Ten x You Unisex Switch Fan Edit Sports Shoes"
"XU003-3","Switch Hit Semi-Pro Cricket Shoe",3499,"Ten x You Unisex Switch Fan Edit Sports Shoes"
"XU004","Unisex Switch Street Multi-Sport Sneaker",3499,"Ten x You Unisex Switch Street Sports Shoes"
"XU005","Unisex Aeonic Running Shoe",4999,"Ten x You Unisex Aeonic Recovery Running Shoes with Cushioned Arch Support"
"XU008","Unisex Sundowner Denim Sneaker",2999,"Ten x You Unisex Sundowner Denim Lifestyle Sneakers"
"XU009","NOX Legacy Sneaker",4999,"Ten x You Unisex Sachin's NOX Legacy Lace-Up Leather Sneakers"
"XU009-2","Native - Bombay Blues",4999,"Ten x You Unisex Sachin's NOX Legacy Lace-Up Leather Sneakers"
"XU006","Unisex Zenflo Walking Shoe",4999,"Ten x You Unisex Zenflo Arch Support Walking Slip On Shoes"
"XU007","Unisex Crossover Slip On Sneaker",4999,"Ten x You Unisex Crossover Light Gym to Street Slip On Sneakers with Arch Support"
"XM5007","Men's 5 Lined Running Shorts",1499,"Ten x You Men Run the World 5 Lined Running Shorts"
"XM5008","Men's 7 Lined Running Shorts",1499,"Ten x You Men Run the World 7 Lined Running Shorts"
"XM5006","Men's Flex Collective 7 Training Shorts",1299,"Ten x You Men Flex Collective 7 Training Shorts"
"XM5009","Men's Workout Shorts",1199,"Ten x You Men 365 Sport to Street Shorts"
"XM1003","Men's Long Distance Running Tee",999,"Ten x You Run the World Running T-shirt"
"XW5002","Women's 4 Lined Running Shorts",1499,"Ten x You Women Run the World 4 Lined Running Shorts"
"XW5005","Women's 6 Lined Running Shorts",1499,"Ten x You Women Run the World Lined 6 Running Shorts"
"XW1003","Women's Long Distance Running Tee",999,"Ten x You Run the World Lightweight Running T-shirt"
"XW5003","Women's Flex Collective 6 Training Shorts",1149,"Ten x You Women Flex Collective 6 Training Shorts"
"XW2005","Women's Ultra-lightweight Tempo Running Tank",899,"Ten x You Women Run the World Tank T-shirt"
"XM2000","Men's Ultra-lightweight Tempo Running Tank",899,"Ten x You Men Lightweight Run the world Tank T-shirt"
"XW1012","Women's Ultra-lightweight Tempo Running Tee",999,"Ten x You Lightweight Melange Running T-shirt"
"XM1012","Men's Ultra-lightweight Tempo Running Tee",999,"Ten x You Lightweight Running T-shirt"
"XM1004","Men's Loose Fit Tee",799,"Ten x You Sport-To-Street Loose Fit T-shirt"
"XM1005","Men's Workout-from-Home Relaxed Fit Tee",699,"Ten x You Sport-To-Street Relaxed Fit T-shirt"
"XM1009","Men's Street Sport Oversized Tee",1099,"Ten x You Oversized Sport-to-Street High GSM Pure Cotton T-shirt"
"XM2004","Men's Workout-from-Home Relaxed Fit Tank",699,"Ten x You Sport-To-Street Relaxed Fit Tank T-shirt"
"XM2005","Men's Muscle Tank",699,"Ten x You Sport-To-Street Muscle Tank T-shirt"
"XM2006","Men's Sports Tank",699,"Ten x You Sport-To-Street Drop Shoulder Pure Cotton Tank T-shirt"
"XW1009","Women's Street Sport Oversized Tee",1099,"Ten x You Oversized Sport-to-Street High GSM Pure Cotton T-shirt"
"XW1010","Women's Relaxed Fit Tee",699,"Ten x You Relaxed Fit Sport-to-Street T-shirt"
"XW1011","Women's Slim Fit Tee",799,"Ten x You Slim Fit Soft Athleisure T-shirt"
"XW2003","Women's Muscle Tank",699,"Ten x You Sport-To-Street Muscle Tank T-shirt with Big Armhole"
"XW2004","Women's Ribbed Tank",699,"Ten x You Ultra-Soft Ribbed Sleeveless Moisture-Wicking Tank Top"
"XA1001","Club Cap",699,"Unisex Polyester Running Cap"
"XA1003","Club Cap",699,"Ten x You Unisex Club Baseball Cap"
"XA1006","Trucker Cap",699,"Unisex Polyester Trucker Cap"
"XU001","Footwork Pulse Cricket Insoles",699,""
"XU010","Footwork Grip Metal Spikes",799,""
"XU010-2","Footwork Grip Hard Turf Spikes",799,""
"XU010-3","Footwork Grip Soft Turf Spikes",799,""
"XA2002","Everyday Low Ankle Socks - Men (Pack of 2 pairs)",299,""
"XA2002-2","Everyday Low Ankle Socks - Women (Pack of 2 pairs)",299,""
"XA2003","Sports Ankle Socks",299,"Unisex Sports Ankle Socks"
"XA2006","Everyday High Ankle Socks (Pack of 2 pairs)",299,""
"XA2007","Cricket Crew Socks",449,""
"XA2008","Running Low Ankle Socks",449,""
"XA2009","Running High Ankle Socks",449,""
"XU089","Nox -The Debut Sneaker",7499,"Ten x You Men Nox -The Debut Leather Sneakers"
"XU011","All-rounder Cricket Shoe",2999,"Ten x You All-rounder Cricket Shoe - Ultra Lightweight Full Rubber Studs for Superior Grip"
"XU012","Unisex Switch OG 2.0 Multi-Sport Sneaker",3499,"Ten x You Men Switch OG 2.0 Cricket Shoes"
"XW3014R","Sculptex - High Impact Leggings",1799,"Ten x You women High Rise Nylon Sports Leggings Stretch Fit"
"XW3014T","Sculptex - High Impact Leggings",1799,"Ten x You women High Rise Nylon Sports Leggings Stretch Fit"
"XW5007","Sculptex High Impact Biker Shorts",1499,"Ten x You women High Rise Nylon Sports Shorts"
"XW3007R","Flow-State Mid Impact Leggings",1499,"Ten x You Women Ankle Length Leggings"
"XW3007T","Flow-State Mid Impact Leggings",1499,"Ten x You Women Ankle Length Leggings"
"XW3010R","Flowstate Kick Flare Pants",1799,"Women Flowstate Kick Flare Pants"
"XW3010T","Flowstate Kick Flare Pants",1799,"Women Flowstate Kick Flare Pants"
"XW3013R","Flowstate Flare Pants",1799,"Women Flowstate Flare Pants"
"XW3013T","Flowstate Flare Pants",1799,"Women Flowstate Flare Pants"
"XW3016","Women's Straight Fit Joggers",1599,""
"XM3006","Men's Straight Fit Jogger",1599,""
"XM5005","Men's Relaxed Fit Above Knee Shorts",1399,""
"XM3007","Mens Tapered fit Jogger",1999,""
"XM3007T","Mens Tapered fit Jogger (tall)",1999,""
"SRLB","Signed Red Leather Balls",1,""
"SRTBAT2026","Signed Bat",1,""
"XU013","Unisex Switch Fan Edit 2.0 Multi-Sport Sneaker",3599,"Ten x You Unisex Switch Fan Edit 2.0 Multi-Sport Sneaker"
"XU014","Unisex Reset Slides",1099,""
"XU098","Nox - The Desert Storm",7499,"Nox - The Desert Storm shoes for unisex"
"XU015","Unisex Reset Velcro Slides",1299,""
"XU016","Pivot Thong Flip Flops",999,""
"XU017","All-rounder Swing Cricket Shoe",3599,""
"XU018","Reboot Dual density Slides",4999,""
